Stationsnamn;Klimatnummer;Mäthöjd (meter över marken);;;;
Stehag;53540;2.0;;;;
;;;;;;
Parameternamn;Beskrivning;Enhet;;;;
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimetre;;;;
;;;;;;
Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader);;
01.11.1989 00:00;31.05.2019 23:59;89.355;55.881.371;13.439.502;;
01.02.1957 00:00;01.08.1989 23:59;60.0;559.033;133.995;;
;;;;;;
Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
01.02.1957 06:00;02.02.1957 06:00;01.02.1957;0.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
02.02.1957 06:00;03.02.1957 06:00;02.02.1957;0.0;G;;Tidsperiod (fr.o.m.) = 1957-02-01 00:00:00 (UTC)
03.02.1957 06:00;04.02.1957 06:00;03.02.1957;0.0;G;;Tidsperiod (t.o.m.) = 2019-03-01 06:00:00 (UTC)
04.02.1957 06:00;05.02.1957 06:00;04.02.1957;0.0;G;;Värdet är summerat över = 24 timmar
05.02.1957 06:00;06.02.1957 06:00;05.02.1957;0.0;G;;
06.02.1957 06:00;07.02.1957 06:00;06.02.1957;0.0;G;;Kvalitetskoderna:
07.02.1957 06:00;08.02.1957 06:00;07.02.1957;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
08.02.1957 06:00;09.02.1957 06:00;08.02.1957;8.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
09.02.1957 06:00;10.02.1957 06:00;09.02.1957;08.Mär;G;;
10.02.1957 06:00;11.02.1957 06:00;10.02.1957;0.0;G;;Orsaker till saknade data:
11.02.1957 06:00;12.02.1957 06:00;11.02.1957;0.1;G;;  stationen eller givaren har varit ur funktion.
12.02.1957 06:00;13.02.1957 06:00;12.02.1957;09.Mai;G;;
13.02.1957 06:00;14.02.1957 06:00;13.02.1957;04.Mai;G;;
14.02.1957 06:00;15.02.1957 06:00;14.02.1957;6.0;G;;
15.02.1957 06:00;16.02.1957 06:00;15.02.1957;0.0;G;;
16.02.1957 06:00;17.02.1957 06:00;16.02.1957;8.0;G;;
17.02.1957 06:00;18.02.1957 06:00;17.02.1957;0.0;G;;
18.02.1957 06:00;19.02.1957 06:00;18.02.1957;02.Mai;G;;
19.02.1957 06:00;20.02.1957 06:00;19.02.1957;0.5;G;;
20.02.1957 06:00;21.02.1957 06:00;20.02.1957;1.0;G;;
21.02.1957 06:00;22.02.1957 06:00;21.02.1957;01.Jän;G;;
22.02.1957 06:00;23.02.1957 06:00;22.02.1957;06.Mai;G;;
23.02.1957 06:00;24.02.1957 06:00;23.02.1957;1.0;G;;
24.02.1957 06:00;25.02.1957 06:00;24.02.1957;0.0;G;;
25.02.1957 06:00;26.02.1957 06:00;25.02.1957;0.0;G;;
26.02.1957 06:00;27.02.1957 06:00;26.02.1957;0.0;G;;
27.02.1957 06:00;28.02.1957 06:00;27.02.1957;0.5;G;;
28.02.1957 06:00;01.03.1957 06:00;28.02.1957;0.0;G;;
01.03.1957 06:00;02.03.1957 06:00;01.03.1957;0.0;G;;
02.03.1957 06:00;03.03.1957 06:00;02.03.1957;0.0;G;;
03.03.1957 06:00;04.03.1957 06:00;03.03.1957;0.0;G;;
04.03.1957 06:00;05.03.1957 06:00;04.03.1957;0.0;G;;
05.03.1957 06:00;06.03.1957 06:00;05.03.1957;0.0;G;;
06.03.1957 06:00;07.03.1957 06:00;06.03.1957;0.0;G;;
07.03.1957 06:00;08.03.1957 06:00;07.03.1957;0.0;G;;
08.03.1957 06:00;09.03.1957 06:00;08.03.1957;0.0;G;;
09.03.1957 06:00;10.03.1957 06:00;09.03.1957;0.0;G;;
10.03.1957 06:00;11.03.1957 06:00;10.03.1957;0.0;G;;
11.03.1957 06:00;12.03.1957 06:00;11.03.1957;0.0;G;;
12.03.1957 06:00;13.03.1957 06:00;12.03.1957;0.0;G;;
13.03.1957 06:00;14.03.1957 06:00;13.03.1957;0.0;G;;
14.03.1957 06:00;15.03.1957 06:00;14.03.1957;0.0;G;;
15.03.1957 06:00;16.03.1957 06:00;15.03.1957;01.Mai;G;;
16.03.1957 06:00;17.03.1957 06:00;16.03.1957;1.0;G;;
17.03.1957 06:00;18.03.1957 06:00;17.03.1957;11.Mai;G;;
18.03.1957 06:00;19.03.1957 06:00;18.03.1957;1.0;G;;
19.03.1957 06:00;20.03.1957 06:00;19.03.1957;2.0;G;;
20.03.1957 06:00;21.03.1957 06:00;20.03.1957;10.0;G;;
21.03.1957 06:00;22.03.1957 06:00;21.03.1957;2.0;G;;
22.03.1957 06:00;23.03.1957 06:00;22.03.1957;0.0;G;;
23.03.1957 06:00;24.03.1957 06:00;23.03.1957;8.0;G;;
24.03.1957 06:00;25.03.1957 06:00;24.03.1957;0.0;G;;
25.03.1957 06:00;26.03.1957 06:00;25.03.1957;0.0;G;;
26.03.1957 06:00;27.03.1957 06:00;26.03.1957;0.0;G;;
27.03.1957 06:00;28.03.1957 06:00;27.03.1957;0.0;G;;
28.03.1957 06:00;29.03.1957 06:00;28.03.1957;0.0;G;;
29.03.1957 06:00;30.03.1957 06:00;29.03.1957;0.0;G;;
30.03.1957 06:00;31.03.1957 06:00;30.03.1957;0.0;G;;
31.03.1957 06:00;01.04.1957 06:00;31.03.1957;0.0;G;;
01.04.1957 06:00;02.04.1957 06:00;01.04.1957;0.0;G;;
02.04.1957 06:00;03.04.1957 06:00;02.04.1957;0.0;G;;
03.04.1957 06:00;04.04.1957 06:00;03.04.1957;0.0;G;;
04.04.1957 06:00;05.04.1957 06:00;04.04.1957;0.0;G;;
05.04.1957 06:00;06.04.1957 06:00;05.04.1957;0.0;G;;
06.04.1957 06:00;07.04.1957 06:00;06.04.1957;0.0;G;;
